Post,Posted,OrganicReach,OrganicImpressions,EngagedUsers,Comments,Likes,Shares,LinkClicks,OtherClicks
"In an effort to combat homelessness in Columbia, Central Missouri Community Action is considering building houses that are around the size of a parking space. &quot;We recognize that in order to address these issues, we need different types of housing,&quot; said Lisa Goldschmidt, the energy &amp; housing manager of CMCA. http://bit.ly/1TEz99Q",4/7/16 14:09,11495,19648,942,75,351,70,286,481
Want to spice up your journey through college? One former STRIPES steering committee member makes a case for playing chauffeur to fellow students in need and why volunteering can take your college experience to the next level.,4/7/16 13:38,154,272,9,,,,4,5
Gunfire between police and two people who are charged with multiple felonies disabled the lead deputy's patrol vehicle early Thursday morning and flew by vehicles on I-70.,4/7/16 12:16,1604,2722,51,,3,,43,7
"With an impressive 9-0 win over Jefferson City High School under their belts, the Rock Bridge High School's boys tennis team is determined to continue its tradition of succeeding in districts.",4/7/16 11:43,907,1508,17,,1,,11,6
Acclaimed director Spike Lee premiered his documentary about Mizzou Football for ESPN's &quot;30 for 30&quot; series at the Missouri Theater on Wednesday. Interim President Mike Middleton echoed Lee's hope for discussion by asking the crowd &quot;to come together and figure out a way to get through this and improve our communities.&quot;,4/7/16 10:38,340,563,24,,2,,10,18
"MU professors Mary Beck, Sarah Bush and Alexandra Socarides were surprised in class Wednesday as they were awarded a Kemper Fellowship for Teaching Excellence. http://bit.ly/1N9MO1P",4/7/16 8:07,2726,4413,125,3,40,2,64,49
Today's front page features nursing home pets; Spike Lee film; and UM president forum. Check out our e-edition: http://bit.ly/22e5550,4/7/16 6:10,1430,4661,7,,1,,1,1
The Centers for Medicare and Medicaid Services awarded a $19.8 million grant to MU's Sinclair School of Nursing to expand a project that uses gaming consoles with motion sensors to reduce hospitalizations among nursing home patients. http://bit.ly/1MTdGs6,4/6/16 20:06,2711,4563,83,1,48,7,21,35
"Local columnist David Rosman says allowing students to conceal and carry is not the answer to prevent potential active shooting. &quot;For the trained shooter, it is not difficult to shoot, reacquire the target and shoot again without the adrenaline flowing,&quot; Rosman said. http://bit.ly/1quJ6uW",4/6/16 18:10,1760,2875,68,1,19,,20,47
"MU graduate student, Linh Ngo, shared her experience with  Marfan, a rare genetic disease. She gives more details about her symptoms in this third installment of a four-part series on her blog. http://bit.ly/22dbRbd",4/6/16 16:12,2847,4840,119,,28,1,87,30
Osage County Sheriff Michael R. Dixon was arrested Wednesday afternoon at the Boone County Sheriff's Department in connection with an unlawful use of a weapon charge due to an incident last month at a bar in Hartsburg. http://bit.ly/25LKwS1,4/6/16 13:58,1454,2418,56,1,,,38,31
"Updated: The Missouri Theatre will distribute 1000 queue cards for Spike Lee's &quot;2 First Up&quot; at 5:30 p.m. this evening. This guarantees a seat to the film if you are at the theater by 6:45 p.m. All admission is free, and the doors will open to people who don't have a queue card at 7 p.m. on a first-come, first-serve basis. http://bit.ly/1quHAJj",4/6/16 13:23,110,154,6,,1,,2,3
The Senate reversed most of the House's planned budget cuts to the UM System's four campuses and voted to block money for Planned Parenthood yesterday. http://bit.ly/1RXVqgh,4/6/16 12:30,2434,3975,86,,25,1,58,14
"Despite back-to-back losses yesterday, the young Stephens College softball team stays upbeat and hopeful for the chance to compete in playoffs. Eight of the 13 teams in the conference have the opportunity to move on the postseason play, and the Stars are currently two games back from the eighth spot. http://bit.ly/1TC3NAL",4/6/16 11:15,760,1238,9,,2,,3,5
"Boone County ranked ninth out of 114 counties in Missouri for child well-being. The Missouri Kids Count Data Book annually ranks counties within the categories of education, economics, health and child safety. http://bit.ly/25L42Ov",4/6/16 10:15,1198,1966,25,,4,3,16,7
"Though protests have died down in recent months, Academy Award-winning director Spike Lee hopes that his new documentary about Concerned Student 1950, titled &quot;2 Fists Up,&quot; will remind viewers that MU's racial issues are far from over. The film will premiere at Missouri Theatre on Wednesday. http://bit.ly/25K71GV",4/6/16 8:02,6844,12531,632,11,44,24,259,411
"Today's front page features a wrap up of election coverage from Columbia, including Brian Treece taking the mayor's race and wins for two school district financial issues. Our e-edition:  http://bit.ly/22bn9wA",4/6/16 6:31,1229,4454,10,,,,,2
Brian Treece earned 52.2 percent of the public vote and defeated opponent Skip Walther to become the next mayor of Columbia. http://bit.ly/1RXgqni,4/6/16 4:12,6686,11361,591,51,239,11,226,353
"The votes are in and Brian Treece is the new mayor of Columbia. To get a better idea of his plans for the city, have a look at his answers to some questions we asked during the campaign.",4/5/16 20:34,749,1059,24,,3,,18,5
"The Mizzou Football team has a lot on its plate while preparing for the Black/Gold Game on April 16. Replacing starters, satellite camps and open practices are all on the agenda in the coming days for the team. http://bit.ly/1WbaFpk",4/5/16 20:22,207,332,2,,,,1,1
Wondering who's winning the Columbia municipal elections? Be sure to look at our up-to-the-minute results. Karl Skala just won the Third Ward City Council race. http://bit.ly/1N7HsEd,4/5/16 18:56,1988,3317,130,4,1,,106,44
An attorney for Planned Parenthood is questioning a subpoena issued by the Missouri Senate as a part of an investigation into fetal tissue donation. The attorney argued that many of the requested documents had nothing to do with the investigation. http://bit.ly/1WaVVH1,4/5/16 18:20,440,705,10,,2,2,5,3
"Local voters share which races and ballot issues are most important to them and why on election day. Races include mayor, City Council and school board seats as well as a tax and levy proposal for Columbia Public Schools.",4/5/16 16:00,1444,2369,35,,5,1,24,10
Recent studies show minorities are only represented in 10% of children's books. Local librarians are working to increase book diversity in schools but find the issue is a national publishing problem.,4/5/16 14:00,360,532,4,,1,,2,1
"A pedestrian safety task force recommends &quot;A Vision Zero Policy for Columbia.&quot; The policy will focus on education, enforcement and engineering to prevent fatal traffic accidents. Vision Zero originated in Sweden and has been adopted by 15 cities in the United States.",4/5/16 13:04,1303,2140,42,2,6,1,16,26
"Journalism professor Earnest Perry was dreading a meeting Tuesday morning, but a visit from MU Interim Chancellor Hank Foley and Commerce Bank Chairman Jim Schatz improved it. Perry was surprised with a 2016 William T. Kemper Fellowship for Teaching Excellence.",4/5/16 12:06,7493,11567,354,7,163,11,116,174
"Local columnist Carl Kenney says government works best when there is a common vision embraced by elected officials, staff and members of the community. So candidates should show up and share their vision in ways that engage the community, he suggests.",4/5/16 11:03,810,1409,13,,,,8,5
Missouri is the only state without a central prescription drug database. Pharmacist Scott Paalhar said he takes extra precautions or avoids filling the prescription to patients who are from other states. The Missouri legislature is considering bills for a prescription drug monitoring program.,4/5/16 10:03,2398,3860,80,2,21,1,24,50
"Following a proposal from the House to cut $7.6 million from funding the UM System, a Senate committee proposed cutting only $1 million from the system's funding.",4/5/16 8:22,1501,2450,37,,10,1,24,8
"Today's front page features UM System budget cuts, premature babies and Spike Lee's &quot;2 Fists Up.&quot; Our e-edition: http://bit.ly/1MPcuWB",4/5/16 6:00,1597,6147,13,,1,,1,2
A hazardous waste facility is now open in Columbia until November. The facility will be able to safely dispose of products such as paint and nail polish remover. http://bit.ly/228bO0p,4/5/16 4:04,112,176,1,,,,,1
Colin Madsen of Jefferson City was studying in Russia when he went missing a week ago while traveling with friends. Russian investigators found his body Monday in Siberia. http://bit.ly/1RYv2WX,4/4/16 20:21,1823,3044,97,,1,,93,9
"Names of Boone County residents who were killed in combat can be added to the new war memorial outside in the Boone County Courthouse Plaza. If you have a loved one who was killed in action during the Cold War, operations Desert Shield or Desert Storm, or the Global War on Terrorism, you can call the Boone County Commissioner's office for an application form to have their name added. http://bit.ly/1TxBkf7",4/4/16 18:40,1021,1667,17,,9,,2,7
Customers got to take home a piece of Quinton's yesterday. The deli and bar will be demolished to make way for a 10-story apartment complex and retail space.,4/4/16 16:07,1464,2441,43,4,,1,33,9
Barriers in the publishing industry are making it difficult for readers and librarians to find diverse books. Do you recall any books from your childhood that reflected diversity?,4/4/16 14:15,2570,3885,33,5,11,2,7,17
"&quot;2 Fists Up,&quot; Spike Lee's new half hour documentary spotlights Concerned Student 1950 and the Missouri football team. It's part of ESPN's &quot;Spike Lee's Lil' Joints&quot; series, and you can see it for free on Wednesday at Missouri Theatre.",4/4/16 13:21,1390,2469,95,1,7,4,50,57
"Need a refresher before the elections tomorrow? Check out mayoral candidate Brian Treece's stances on issues such as Columbia Missouri Police Department staffing, crime, city zoning codes and more.",4/4/16 12:02,1448,2458,42,,6,1,31,11
Skip Walther is one of two candidates running to be mayor of Columbia. Learn more about Walther's stances on local issues in his Q&amp;A with the Missourian.,4/4/16 11:04,1112,1831,26,,1,,15,13
Get ready for tomorrow's election with a refresher on the priorities and goals of Columbia School Board candidates. There are five candidates running for two three-year positions on the board.,4/4/16 10:34,1216,2052,46,,7,4,29,11
A retired school librarian is using her love of books to support troops serving abroad. Read more about her story: http://bit.ly/1qpVGeW,4/4/16 8:35,3131,5867,284,46,196,25,106,130
"Since January, the Missouri legislature has launched a whirlwind of criticism toward the UM System. And, several budget bills related to system cuts are moving through the process. Read a summary of the bills and action taken so far: http://bit.ly/1N4Zze6",4/4/16 7:40,391,662,10,,,,8,2
Get a look at the issues and the candidates in Columbia's municipal election on Tuesday. http://bit.ly/1MMytO6,4/4/16 6:30,634,1122,46,,1,2,29,22
Check out these photos from a nearly-bare Quinton's restaurant. The business is closing and the furnishings were auctioned off before the building on Ninth Street is demolished. http://bit.ly/1RTiz3s,4/3/16 20:19,2867,4873,182,5,4,2,131,73
"In the 2015 and 2016 legislative sessions, Missouri lawmakers filed more than 100 bills to curb racial profiling and increase transparency in police agencies in the wake of the death of Michael Brown and the Ferguson protests. But few of the bills are getting traction. http://bit.ly/25Fcsag",4/3/16 16:50,1269,2136,33,2,11,2,14,22
"Do you know where you'll be voting in Tuesday's municipal election? We've got resources and information you'll  need to know before heading to the polls. http://bit.ly/1N4navkCatch up on the candidates' positions and the issues, too. http://bit.ly/1RVUxYS",4/3/16 14:35,2304,3576,59,3,11,5,29,30
Police-involved shootings of predominantly unarmed black men have sparked conversations about the role of police in use-of-force situations. Columbia police discussed the issue of using force in a Saturday presentation.,4/3/16 11:30,1322,2038,20,,1,1,13,8
"What do you still want to know about Tuesday's municipal election? Check out our Voters Guide, which provides all the information and stories about candidates you need before heading to the polls.",4/3/16 8:15,1855,2965,56,,1,,51,7
"Today's front page features Kite Flying Day, our voters guide, preparations for a solar eclipse and a discussion about police use of force. Our e-edition: http://bit.ly/1PP2hEp",4/3/16 6:00,1787,6921,12,,3,,2,1
"A portion of the Katy Bridge in Boonville reopened with a ribbon cutting by Gov. Jay Nixon on Saturday. &quot;It's been a long time coming,&quot; said Wayne Harmon, a member of the original committee created to advocate for the restoration of the bridge. http://bit.ly/1W26Lii",4/2/16 20:10,1507,2393,25,,9,,12,4
"Did you know that plants can &quot;see&quot; light? MU doctoral candidate Scott Askinosie is studying proteins to find out how they act as the &quot;eyes,&quot; and he hopes to use his research to increase agricultural yields. http://bit.ly/220fGAt",4/2/16 17:15,695,1032,19,,8,2,7,10
An MU researcher is trying to unlock the secret of how plants &quot;see&quot; light. His work could help with genetic modification and ways to improve crop yield. http://bit.ly/1Svw9rl,4/2/16 14:30,1294,2083,23,,6,,13,13
A 12-year effort from the Katy Bridge Coalition pays off today when a concrete walkway on a restored railroad bridge opens that will allow visitors to walk across the Missouri River. The ribbon-cutting ceremony is set for 11:30 a.m. in Boonville. http://bit.ly/1PLIndq,4/2/16 6:31,1358,2087,42,,20,4,19,14
"Visitors can travel a few decades back in time when they go inside R&amp;J's Jukeboxes in Rocheport. Owners Jane Smith and her husband have a collection of at least 17 jukeboxes and more than 4,000 records. http://bit.ly/1VZoKpM",4/1/16 19:15,3108,5277,131,10,84,21,40,34
"What's your definition of a &quot;good&quot; photo? Boone County's presiding commissioner Dan Atwill says photos give him a sense of who he is, and it is also a tool to show his memory to anyone else. Atwill is still learning photography both from his life experiences and other photographers. He is working on bring a National Geographic photography workshop to mid-Missouri. http://bit.ly/1Vh9mV8",4/1/16 15:25,809,1271,14,,6,,5,7
"It seems the mayoral candidates have similar stances on what the important issues are in Columbia, so what makes them different? Columnist George Kennedy talked to Skip Walther and Brian Treece to find out.",4/1/16 13:08,2577,4413,94,,3,3,81,18
"Web publishing allows journalists to make changes to articles after publication, but when should we make readers aware of the changes? Executive editor Tom Warhover looks for answers in this week's column. http://bit.ly/21Wq3p0",4/1/16 11:10,1307,2197,33,5,7,2,8,23
"MU journalism professor Glen Cameron won the Southeastern Conference's Faculty Achievement Award for MU. Cameron, who studies crisis communication, was recognized for his years of research, software design and authoring more than 300 books, book chapters, articles and convention papers.",4/1/16 9:07,1599,2473,44,2,25,1,6,27
"A Columbia political action committee received $47,500 in donations, but how the money will be spent has yet to be determined. http://bit.ly/1VcL3HN",4/1/16 7:08,1565,2491,53,,4,,26,27
Today's front page features Katy Bridge; Loop CID tax; and PAC donations. Check out our e-edition: http://bit.ly/1Tmp0OJ,4/1/16 6:09,1266,3943,7,,,,,1
U.S. Sen. Roy Blunt toured the Boone County Fire Protection District headquarters and asked questions to learn more about Missouri Task Force 1. The Missouri group is one of only 28 teams in the country that responds to national emergencies. http://bit.ly/1Tm1CRx,3/31/16 19:08,904,1488,11,,,,5,6
"Lt. Gov. Peter Kinder's statement that numbers for minority youth unemployment fall between 40 percent to 45 percent was rated mostly true. Ferguson, which was the focus of Kinder's statement, fits his estimate. http://bit.ly/1TlVite",3/31/16 17:03,820,1359,9,4,1,,1,7
"The Loop CID tax, which is expected to generate between $200,000 to $225,000 per year, is scheduled to take effect Friday. The Missouri Supreme Court rejected an appeal in a lawsuit seeking to overturn the tax. http://bit.ly/1TlTLDG",3/31/16 15:15,1309,2191,40,6,,,17,27
This year's Fourth Ward City Council candidate Daryl Dudley talked about the science of campaigning. He talked to people as a simply way to interact with scores of people. &quot;I just listen to what everybody has to say and use that to form a judgment.&quot; Dudley said.  http://bit.ly/1ME7rsd,3/31/16 13:17,1426,2363,47,2,2,,20,31
Columbia's Fourth Ward councilman Ian Thomas wants people to know where he stands on issues in the city. He says many of the problems he sees start with a lack of communication from city staff.,3/31/16 11:13,1034,1705,23,1,8,,12,7
"With a 12-year effort by the Katy Bridge Coalition, part of the Katy bridge in Boonville is now open to the pedestrians and cyclists. &quot;Most of the people who have seen it can't wait to get on it,&quot; Boonville assistant city administrator Kate Fjell said.",3/31/16 9:25,3099,5196,93,1,49,9,31,35
"Council candidates disagreed Wednesday night at the Chamber of Commerce forum on how to fund projects such as expanding the airport, implementing form-based zoning and adding more police officers. http://bit.ly/1RKULij",3/31/16 7:10,879,1383,11,1,,,7,5
Today's front page features James Condominium; state budget; and gun bill. Check out our e-edition: http://bit.ly/1qkAZB5,3/31/16 6:11,1533,5079,6,,2,,,
The doors to Patriot Place Apartments will open in April and will offer 25 housing units to homeless veterans. The Columbia Housing Authority has estimated that one-third of Columbia's homeless are veterans. http://bit.ly/1TjEmUe,3/30/16 19:10,5660,8831,344,9,207,34,93,136
Helpers at TigerPlace provide retired residents with the pet-care services needed to help foster the friendship between owner and pet. http://bit.ly/1V71t4m,3/30/16 17:12,1432,2379,30,,16,1,17,6
"Karl Skala says his reelection campaign is about the residents in the Third Ward. Public safety, infrastructure and jobs form the foundation of the campaign and align with the city strategic plan. He said he thinks his record on the City Council over the past few years shows he has worked to make good on those promises.",3/30/16 15:09,1051,1762,10,,2,1,5,3
"“My attitude is, ‘If you’re hungry, I’ll give you a fish for the day. But if you let me, I’ll teach you how to fish,&quot; Tom Leuther said. With only 12 days remaining until City Council elections, the candidate for Third Ward councilman is hoping the position will give him an opportunity to help the community.",3/30/16 13:27,342,553,12,,,,3,10
"&quot;If you want a dialogue that involves all voices in the community, you have to go where the comfort level belongs to the audience, not the government officials,&quot; Paul Rainsberger said at Tuesday night's School Board candidate forum. Four of the contenders talked at length about systemic racism in the education system and debated ways to address it.",3/30/16 11:46,1157,2022,24,,6,,14,9
"At a March 17 debate, former Speaker of the Missouri House Catherine Hanaway compared the length of Missouri's barber regulation code to the book of Revelation. In reality, hairdressers face a much wordier set of guidelines.",3/30/16 9:37,837,1362,46,,4,2,12,34
"There were no flashy offers or wealthy suitors Tuesday when interested residents toured the old Boone County Fairgrounds. Mostly, the discussion centered on frustration and distrust about property management. http://bit.ly/1ThAJ1f",3/30/16 6:07,1951,3252,68,2,3,1,40,34
"Five candidates are running for two three-year spots on the Columbia School Board. Student achievement, teacher pay and collaboration were among the top priorities for the candidates. Read more about the candidates' positions on the issues.",3/29/16 15:14,1028,1721,20,,,,14,7
"After an explosion killed more than 70 people in Pakistan on Easter, columnist Carl Kenney writes about the message of Easter and what it means in a world where hate seems to win.&quot;The empty grave isn’t there to give us reason to fill it up again. It is there to give us permission to walk away from our need to destroy people with an opposing opinion,&quot; Kenney writes.",3/29/16 13:20,1038,1855,24,1,4,1,11,15
Former Kansas women's basketball player Lauren Aldridge announced her decision to transfer to Missouri on Monday. She was the top scorer for the Jayhawks this past season.,3/29/16 11:15,9845,15088,568,16,161,17,187,322
"According to research, pets provide mental and physical benefits to older people, such as lessening loneliness and increasing healthy behaviors like walking. Recognizing these benefits, TigerPlace not only allows animals but offers residents help caring for them.",3/29/16 10:11,206,339,2,,,,1,1
Ginny Chadwick has decided against running for Boone County commissioner for the Southern District after learning she'd have to resign her graduate teaching position at MU. The commissioner post is a full time position as opposed to the part-time City Council position when she represented the First Ward.,3/29/16 9:16,2681,4735,161,5,21,3,62,107
Missouri pitcher Tanner Houck won two player of the week awards Monday — from the Southeastern Conference and Collegiate Baseball —  after a strong pitching performance Saturday.,3/29/16 7:30,840,1567,10,,3,,4,4
"Today's front page features fighting Parkinson's through boxing, city candidate file financial reports, Pakistan's prime minister vows to defeat militants. E-edition: http://bit.ly/1UYWkLz",3/29/16 6:01,1753,6590,11,,4,1,1,3
"Two of six Columbia City Council candidates break the $70,000 mark in fundraising and another is within $600 of that benchmark, according to campaign finance reports filed Monday. http://bit.ly/21Q9oDy",3/28/16 18:33,1855,3210,41,,3,2,33,10
"Incumbent Jan Mees with a sizable financial advantage in the Columbia School Board campaign, according to campaign finance reports filed Monday with the Missouri Ethics Commission. http://bit.ly/1PBIrME",3/28/16 16:10,1225,1997,18,,2,1,10,9
FACT CHECK: Lt. Gov. Peter Kinder tweeted that St. Louis is the 'most dangerous city' based on violent crime rates. But comparing cities with one another based on violent crime rates alone does not determine whether a city is more or less dangerous. http://bit.ly/1UXZGPc,3/28/16 14:33,1249,2142,22,1,4,,11,9
Addressing the economic disparity is a priority for City Manager Mike Matthes. We asked City Council candidates how they would address the issue. Education and job training were key points for candidates.,3/28/16 12:17,974,1749,15,,,,12,6
"As a school librarian, Pat Powell enjoyed sharing her love of books with others. Now that Pat's retired, she continues to share that love by sending books to soldiers overseas.",3/28/16 10:13,1956,3286,64,5,37,8,26,30
"Advances in pre-term care have given hope to many families with premature babies. A'Taliya Bass was born at 27 weeks, weighing less than 2 pounds. She's now a healthy 11-year-old who plays the violin and recently won second place at a science fair. But the risks remain high for premature babies even as survival rates increase.",3/28/16 8:13,1491,2608,26,,7,1,11,14
"Missouri baseball tied a program record on Sunday. It just wasn't the one the Tigers wanted. In a rainy, delayed game the Tigers committed eight errors, which is tied for the program's most in a game.",3/28/16 6:23,227,365,3,,,,1,2
Two groups are trying to put proposed increases in Missouri's tobacco tax. Raise Your Hand for Kids plans to raise money for children education and health. The Missouri Petroleum Marketers’ Association wants the revenue spent on transportation. Missourians has passed two tax measures on the ballot in 25 years.,3/27/16 20:32,706,1198,7,,2,,3,3
This week's most read stories include two higher education pieces about black faculty retention at MU and the University of Nebraska's relationship with the Association of American Universities. http://bit.ly/1PzgmFY,3/27/16 18:30,1646,2791,38,,1,,32,8
"During this legislative session, at least four dozen bills have been proposed to address ethics reform in Missouri, but only a few have made it past the starting gate. Limits on campaign contributions and banning lobbyist gifts are just some of the reform initiatives that have divided legislators as they work to bolster ethics in the Capitol. http://bit.ly/1XWSWAf",3/27/16 16:22,2046,3235,66,1,12,5,15,48
"Should Columbia use incentive programs to encourage development and create jobs? Some City Council candidates think tax-increment financing and/or enhanced enterprise zones should be used on case-by-case basis, while others think those incentives should only be used as last resorts. http://bit.ly/1MugBqV",3/27/16 14:53,1200,2035,21,,1,,15,7
"Student essayist from Rock Bridge High School paid tribute to an alumna with essays that explored diversity. While the students had their own ways of looking at the fault lines in American society, they all agreed that differences should be celebrated, not eliminated. http://bit.ly/25q5Jkm",3/27/16 10:30,1023,1569,24,,8,1,13,9
"Today's front page features the Egg Hunt EGGstravaganza, essay contest tribute to Rock Bridge alumna and the rocky road to enact a lobbyist gift ban. Our E-Edition: http://bit.ly/1q8CqCC",3/27/16 6:14,1426,5256,6,,,,,1
Tanner Houck has a career night for #Mizzou baseball on Saturday but still finished with a no-decision in a 2-0 extra-inning loss to Vanderbilt. http://bit.ly/21MOdCi,3/26/16 20:25,1175,1935,17,,6,,11,3
"More than 350 people showed up on Saturday to Douglass Park for the Egg Hunt EGGstravaganza, hosted by the Columbia Parks and Recreation Department. Children participated in a bean bag race, egg toss, a jelly bean guessing game, face painting and, of course, an Easter egg hunt. http://bit.ly/1MssWMs",3/26/16 18:12,1606,2632,30,1,9,1,19,10
Senior redshirt Reggie McClain played for Georgia and a community college in Florida before transferring to Missouri. The pitcher has since settled in to the SEC with the Tigers. http://bit.ly/1ZEKbfy,3/26/16 16:22,645,1147,8,1,1,,1,6
Columbia mayoral and council candidates share their thoughts on development trends and infrastructure needs downtown. http://bit.ly/1RGmNhO,3/26/16 14:21,226,366,9,1,,,4,4
The Callaway County Sheriff's Department responded to a domestic violence disturbance Thursday evening and shot a man who they say advanced toward them wielding an ax. The man is in stable condition.,3/26/16 12:02,1264,2233,23,,1,1,17,5
"The parents of Avantika Khatri, who died in 2015, started an essay contest on diversity. Students were asked to write essays about &quot;inclusiveness, diversity and equality in America&quot; to honor Avantika Khatri's dedication to social awareness. The six winners from Rock Bridge High School read excerpts of their essays. Read more about the Khatris and their daughter here: http://bit.ly/1RFu1ms",3/26/16 10:05,3589,8967,67,,13,1,11,52
"MU students tried their hands at decorating Easter eggs, some of them for the first time in their lives, at Mizzou Multicultural Hour on Thursday.",3/26/16 8:11,147,237,4,,2,,1,1
We asked mayoral and City Council candidates: how will you forward the high-voltage power line projects slated for southwest Columbia? Here's what they had to say.,3/26/16 6:20,525,936,30,,1,,27,2
"As the week drew to a close, St. Paul A.M.E. Church held its annual fish fry on Friday. The church has been hosting the fundraising event for more than a decade. http://bit.ly/1PvUsDk",3/25/16 20:06,870,1493,15,,6,,4,8
Looking for some Easter weekend fun? Spring Kids Fest is tomorrow at the Columbia Mall. The best part? It's free. http://bit.ly/1Uqxrdk,3/25/16 18:09,98,136,2,,,,2,
"In four of Mizzou baseball's past five games, the Tigers have struck out at least 12 times per game. Despite all the whiffing, Missouri's hitters are looking for new ways to wear opposing pitchers out.",3/25/16 16:20,1211,1990,18,,4,,6,10
"Mizzou softball has played 24 games away from home and traveled more than 10,000 miles this season. But playing on the road hasn't fazed the Tigers, who are riding an eight-game win streak into Tuscaloosa, Alabama, this weekend.",3/25/16 14:15,550,904,13,2,3,,4,8
The Planning and Zoning Commission approved a proposal for a new neighborhood on the west side of Columbia. The project would build 170 homes on 91 acres.,3/25/16 13:02,1438,2483,52,4,3,1,31,22
"MU Faculty Council members made their thoughts clear Thursday on the search for a new UM System president. They urged for the selection of an academic candidate, not an aloof businessman or autocratic administrator like Tim Wolfe, members said.",3/25/16 12:02,2264,3849,82,,13,3,50,30
"Love might mean nothing in tennis, but for a Texas A&amp;M yell leader, it means wearing Mizzou colors on his own turf to support his fiancé.",3/25/16 11:03,6667,11248,350,5,63,3,245,101
"“So many of us are given the diagnosis, but we’re not given very much information on how to handle it,” Parkinson’s support group leader Patsy Dalton said. Last month, Rock Steady Boxing opened up a branch in Columbia, becoming the first Parkinson's boxing program in the state.",3/25/16 10:06,2135,3572,75,1,25,3,29,49
MU raised $21.9 million in February with the help of an anonymous donor. The university has raised $7 million more this year than the previous annual record.,3/25/16 8:07,3081,5264,168,5,46,4,68,105
Today's front page features donations to MU; Nebraska's success without AAU; Belgium on alert; and mayoral candidate Brian Treece. Check out our e-edition: http://bit.ly/21JTTgn,3/25/16 6:05,1189,3787,6,,1,,,2
"Three Russell Boulevard Elementary School fifth-graders learned interviewing, writing and photography skills, enabling them to put out their own newspaper during an after-school program called Russell University. http://bit.ly/1UewtQY",3/24/16 20:10,3304,5860,186,11,89,6,43,100
Student Transportation of America highlighted the importance of the relationship between bus drivers and students during the Columbia School Board's review of the bus service. http://bit.ly/1Zy5MWY,3/24/16 18:06,1046,1713,16,,1,,13,3
"&quot;Just because I stepped out of office doesn't mean I stepped out of the conversation,&quot; Ginny Chadwick said. The former City Council member is now in the running for County Comissioner. She said she wants to mend the relationship between the city and the county. http://bit.ly/1q4DhEi",3/24/16 16:00,1194,2047,32,1,1,,17,21
"&quot;The popular saying 'Those who can not do, teach' is far from accurate,&quot; said pre-service teacher Kahlea Wilson. She said she wishes more parents would understand that teaching isn't easy. http://bit.ly/1ZxvIC7",3/24/16 14:10,778,1360,12,2,3,,4,4
"Mayoral candidate Brian Treece hopes to use his passion for Columbia's history to guide its future. As a member of Columbia's Historic Preservation Commission and Downtown Leadership Council, Treece has already tried to do just that. http://bit.ly/1q487gr",3/24/16 13:14,1990,3737,75,,22,3,35,34
"How safe do you think Columbia is? Despite a decline in overall crime the last few years, city surveys show that Columbia residents are more concerned about crime than ever before.  http://bit.ly/1Ptk0RD",3/24/16 12:15,2231,3861,164,7,7,2,63,109
"Mayoral candidates Brian Treece and Skip Walther offered different approaches to honoring Columbia's racial heritage during a city official candidates panel on Tuesday. The NAACP forum included issues such as city infrastructure and future development, policing of the community and public school funding. http://bit.ly/1q4fSTz",3/24/16 11:15,161,245,4,,1,1,,3
"Family and friends remember Ricky Westhues as a hard worker and avid arm wrestler. Mr. Westhues owned an auto-transport business with his wife and spent much of his time with his children. In honor of Mr. Westhues’ life, the family plans to have a memorial motorcycle ride. http://bit.ly/1q4akZl",3/24/16 10:00,1175,1989,26,,3,,17,7
"As part of her &quot;College Affordability Tour,&quot; Sen. Claire McCaskill stopped in Ashland to discuss what to do about the rising cost of higher education. http://bit.ly/1S7tSlW",3/24/16 8:04,1129,2043,42,1,18,2,27,14
Today's front page features reaction to Brussels; bid for mayor; and UM diversity officer. Check out our e-edition: http://bit.ly/1Rmqia2,3/24/16 6:07,1394,4339,32,5,16,1,,12
"In a faculty meeting Wednesday, MU Interim Chancellor Hank Foley said the only way to compensate for UM System budget cuts is to decrease spending and increase revenue, possibly by raising student tuition. http://bit.ly/1q3b6FJ",3/24/16 4:19,2900,4815,197,12,8,4,82,138
"Some of Missouri's senior football players are likely to have their names in the NFL draft this year, but others are still proving their strength. NFL scouts joined players and their families at the Mizzou Athletic Training Complex to give them a shot at the big leagues. http://bit.ly/1ZuNRk6",3/23/16 20:09,1141,1854,17,,5,,8,6
"Wednesday's Today in Photos gallery examines the aftermath of Tuesday's terrorist attacks in Brussels, Belgium. While the city mourns, security in other European airports and subways is being tightened. http://bit.ly/1Psmlfq",3/23/16 18:25,687,1186,6,,3,,3,2
"Three MU students documented the Concerned Student 1950 protests in November. Now, their film is free for the world to see. http://bit.ly/1Rldpx3",3/23/16 16:17,175,284,3,,1,,2,
Clare Klawuhn balances school and a district manager position at Vector Marketing. Klawuhn said her favorite thing about her job is the opportunity to network and meet various people around Columbia that she otherwise wouldn't have met. http://bit.ly/1q2DhF0,3/23/16 14:21,1454,2495,31,1,4,1,23,7
"&quot;The terrorists hadn’t just taken 31 innocent people in their attack. The once-thriving city had been robbed of its life.&quot; Ryan Collins, an MU journalism student studying abroad in Brussels, shares his experience during the terrorist attack yesterday.",3/23/16 13:05,5895,10399,320,10,31,11,154,201
"If you drive on Southampton Road and State Farm Parkway, you've noticed the construction. The project is expected to last until June, and the Public Works department is trying to make sure drivers obey the road signs and traffic flow. State Farm Parkway is limited to northbound traffic, while Southampton is now open only to eastbound traffic.",3/23/16 12:05,1657,2919,75,2,2,,34,55
